区县,店铺名称,GCJ02_经度,GCJ02_纬度,WGS84_经度,WGS84_纬度,地址,联系电话,评分,人均消费（元）,商圈,营业时间
中原区,老丁家西安泡馍馆(建设西路店),113.589174,34.758962,113.589174,34.758962,建设西路87号(西三环地铁站B2口步行100米),暂无,4.3,27,暂无,8：00——22：00
中原区,桂林米粉(市委家属院店),113.620966,34.748362,113.620966,34.748362,林山寨街道工人路52号院市委家属院,15538350319,4.4,14,建设路,8：00——22：00
中原区,飘香牛肉面,113.61803,34.772495,113.61803,34.772495,桐柏北路煤仓北街交叉口路东,13526781938,4.3,28,暂无,8：00——22：00
中原区,笨猪笑小鲜肉米线(国棉三厂家属院店),113.613941,34.759573,113.613941,34.759573,桐柏北路69号附14号(棉纺路与桐柏路交叉口向南100米路东),13253478001,4.1,25,建设路,8：00——22：00
中原区,杨康清真烧烤(方圆·经纬花园店),113.61943,34.760704,113.61943,34.760704,棉纺西路26号方圆经纬花园4幢1层125号,13838338744,4.3,58,棉纺路,8：00——22：00
中原区,劈柴小院(永庆路店),113.597112,34.734711,113.597112,34.734711,永庆路8-26,18603811692,4.3,66,暂无,8：00——22：00
中原区,臭哥儿螺蛳粉(高新区店),113.559038,34.830735,113.559038,34.830735,东史马小区中区南门旁,暂无,4.4,18,暂无,8：00——22：00
中原区,刘婉婉生炸妙龄鸡(须水店),113.524593,34.765976,113.524593,34.765976,西四环须水街道136号附1号院9号楼25号房,13783611103,4.4,11,暂无,8：00——22：00
中原区,品意德北京烤鸭(汝河路店),113.616173,34.732706,113.616173,34.732706,汝河路文化宫路西30米路北,15093080997,4.4,33,暂无,8：00——22：00
中原区,幸运咖(天健湖智联网产业园店),113.481369,34.810984,113.481369,34.810984,杜兰街天健湖智联网产业园南门101商铺,13613713620,4.5,10,暂无,8：00——22：00
中原区,星姨糖水(正弘汇店),113.565674,34.809045,113.565674,34.809045,正弘汇3楼星姨糖水,17329447145,4.5,20,瑞达路沿线,8：00——22：00
中原区,哆哆客汉堡(郑州淮河路小学店),113.616116,34.729043,113.616116,34.729043,淮河路127号楼第1层(桐淮地铁站D口步行310米)铭心堂大药房,15713666828,4.4,15,淮河路,8：00——22：00
中原区,宴渠老烩面(杜兰街店),113.503433,34.810983,113.503433,34.810983,杜兰街2-10号,13633802057,4.5,19,暂无,8：00——22：00
中原区,武陟虹兴砂锅,113.571801,34.804669,113.571801,34.804669,月桂路与玉兰街交叉口向西200米米瓦屋李17号楼A座一层110室,13569278980,4.4,31,瑞达路沿线,8：00——22：00
中原区,卤昱夫妻肺片(祝福红城店),113.550542,34.790984,113.550542,34.790984,祝福红城2期西北门东140米,暂无,4.5,24,暂无,8：00——22：00
中原区,中原铺子(郑州华强广场店),113.602941,34.791862,113.602941,34.791862,电厂路70号郑州华强广场F1层,暂无,4.4,29,暂无,8：00——22：00
中原区,宴渠老烩面(红松路店),113.504894,34.793558,113.504894,34.793558,红松路260-4号,13255929865,4.4,24,暂无,8：00——22：00
中原区,香可利蛋糕房,113.58148,34.74349,113.58148,34.74349,长城路与西三环辅路交叉口西260米,暂无,4.4,21,暂无,8：00——22：00
中原区,陕西哨子面,113.602999,34.797947,113.602999,34.797947,王屋路与电厂南路交叉口东南角,13103854761,4.5,13,暂无,8：00——22：00
中原区,蜜雪冰城(谦祥·世茂万华城悦府店),113.582325,34.815975,113.582325,34.815975,枫杨街道万华城悦府东门6-14商铺,17638506800,4.4,12,暂无,8：00——22：00
中原区,蜜雪冰城(前进路店),113.610698,34.739986,113.610698,34.739986,前进路颖河路交叉口东南角,暂无,4.4,10,暂无,8：00——22：00
中原区,清欢茶坊(启福·铭都店),113.618146,34.723107,113.618146,34.723107,文化宫路与沁河路交汇处向东100米路北2层商铺清欢茶坊,13373915556,4.4,暂无,暂无,8：00——22：00
中原区,金婆婆小面,113.564019,34.828998,113.564019,34.828998,白桦街与牡丹路学府嘉园39-21,13838316074,4.4,15,暂无,8：00——22：00
中原区,沙朗阿甘鲜肉汉堡(锦艺城王府井店),113.613196,34.761728,113.613196,34.761728,棉纺西路4号王府井城市奥莱B1层,16668115800,4.4,28,棉纺路,8：00——22：00
中原区,刘文祥麻辣烫(华强城市广场店),113.60283,34.792468,113.60283,34.792468,电厂路华强城市广场1期步行街附39号,13271594528;18303940105,4.4,18,暂无,8：00——22：00
中原区,布谷布谷热干面(万科城湖心岛店),113.503242,34.814825,113.503242,34.814825,枫香街92号20号楼附1房,13283859279,4.4,14,暂无,8：00——22：00
中原区,关虎屯老味米线(正弘生活广场店),113.565207,34.806435,113.565207,34.806435,金梭路33号(银屏路地铁站D口步行440米),13140672286,4.4,15,科学大道,8：00——22：00
中原区,牛出川牛肉牛杂火锅(枫香街店),113.501193,34.814883,113.501193,34.814883,丰枫香街92号1号楼-2层附14号,暂无,4.4,61,暂无,8：00——22：00
中原区,布谷布谷热干面((冉屯东路店)),113.611958,34.778379,113.611958,34.778379,清城美苑(冉屯东路)2号,13525555445,4.4,12,暂无,8：00——22：00
中原区,江川右·一家有态度的粥店(郑州高新店),113.561075,34.799996,113.561075,34.799996,银屏路中益七囍5号10号楼15号商铺,19137136292,4.5,15,暂无,8：00——22：00
中原区,森林海广东火锅打边炉·清真,113.551829,34.821875,113.551829,34.821875,枫杨街道石楠路99号金盾花园,18738153391,4.1,64,科学大道,8：00——22：00
中原区,歪宗桂林米粉(中原万达店),113.606033,34.752482,113.606033,34.752482,郑煤机社区南区北大门东80米,18548080855,4.3,16,岗坡路,8：00——22：00
中原区,小馆子家常菜(文化宫路店),113.616984,34.732063,113.616984,34.732063,汝河路文化宫路交叉口向南20米路东,13523428826,4.1,27,淮河路,8：00——22：00
中原区,白记烩面馆(中原西路店),113.50306,34.748896,113.50306,34.748896,天韵和城南门东90米(柳湖地铁站C口步行360米),13653717117,4.1,22,暂无,8：00——22：00
中原区,怂柠SONGLEMON,113.613062,34.761427,113.613062,34.761427,棉纺西路36号A区商业一层101号,17324835646,4.3,暂无,棉纺路,8：00——22：00
中原区,LINLEE·手打柠檬茶(中原朗悦公园茂店),113.556494,34.82143,113.556494,34.82143,朗悦公园茂3号馆1楼东门7号门门口,15893311736,4.3,暂无,科学大道,8：00——22：00
中原区,柳妹妹螺蛳粉(高新公园里店),113.551217,34.809498,113.551217,34.809498,中原区高新区石楠路56号金兰西景苑4号楼一层附8号,16696124666;19043998735,4.3,18,科学大道,8：00——22：00
中原区,厨匠博炮崩鸡谦祥万和城店,113.53986,34.83185,113.53986,34.83185,长椿路216号谦祥万和城32号楼1层附13号,暂无,4.3,25,暂无,8：00——22：00
中原区,和府捞面(郑州中原万达店),113.600625,34.746325,113.600625,34.746325,中原西路街道中原中路171号中原万达3楼3062-A,17698952031,4.3,28,暂无,8：00——22：00
中原区,故里炸鸡(中原新城店),113.610479,34.73772,113.610479,34.73772,前进路81-24号(陇海西路地铁站C口步行360米),15038268574,4.3,14,暂无,8：00——22：00
中原区,库迪咖啡(升龙天汇10号院店),113.626653,34.772869,113.626653,34.772869,嵩山北路112号升龙天汇10号院1层16号底商,15333862039,4.3,暂无,暂无,8：00——22：00
中原区,S-pizza披萨速递(中原万达店),113.594355,34.745443,113.594355,34.745443,白鸽树脂模具有限公司北门西440米,13007508123,4.3,29,暂无,8：00——22：00
中原区,胖大力肉蟹煲(高新万科店),113.525089,34.806408,113.525089,34.806408,红叶路高新万科广场4楼06号(祥营地铁站A1口旁),17596559788,4.3,62,科学大道,8：00——22：00
中原区,DQ(升龙金中环财富中心探十里店),113.614925,34.735425,113.614925,34.735425,陇海西路338号探十里升龙金中环财富中心店B1层,13303820396;13633777752;18336367753,4.3,28,暂无,8：00——22：00
中原区,布谷布谷热干面(正弘数码港店),113.563751,34.806862,113.563751,34.806862,正弘数码港10号楼1层附8右半间(招商银行东侧),15565059167,4.3,22,科学大道,8：00——22：00
中原区,第一部落烤串中原商贸城店,113.625594,34.753508,113.625594,34.753508,中原商贸城步行街,18737066513;18838577805,4.3,15,棉纺路,8：00——22：00
中原区,麦多和馅饼(郑州华强广场店),113.604069,34.792377,113.604069,34.792377,电厂路70号郑州华强广场F1层,暂无,4.3,10,暂无,8：00——22：00
中原区,嘿店外带寿司(王府井旗舰店),113.611429,34.763104,113.611429,34.763104,锦艺国际华都·欧尚西门南60米,0371-56081015;13838139027,4.3,16,棉纺路,8：00——22：00
中原区,电厂路泾河路交叉口安仔包(河南省大学科技园店),113.605154,34.79634,113.605154,34.79634,泾河路2-1安仔包,15838218085,4.3,6,暂无,8：00——22：00
中原区,冰鹿蛋糕(锦艺城店),113.620076,34.763148,113.620076,34.763148,棉纺西路26号方圆经纬花园16号楼1层115,17719878579,4.2,40,棉纺路,8：00——22：00
中原区,冯湾猪蹄(总店),113.603058,34.728011,113.603058,34.728011,秦岭路淮河路南100米路西,0371-68611898;13598885170,4.1,49,淮河路,8：00——22：00
中原区,孙记大盆骨店,113.603938,34.798316,113.603938,34.798316,秦岭路与电厂南路交叉路口向西160米路南,13015521440,4.2,28,暂无,8：00——22：00
中原区,栗子正味海鲜(高新区店),113.549119,34.806735,113.549119,34.806735,中原区高新区科学大道检察院对面农贸市场正背后,18681867766,4.1,25,科学大道,8：00——22：00
中原区,桥家园正宗云南过桥米线(中原万达店),113.600198,34.74587,113.600198,34.74587,中原中路171号万达广场中原店1F层,13043016619,4.2,19,暂无,8：00——22：00
中原区,千手一味茶餐厅(郑州华强广场店),113.604286,34.792777,113.604286,34.792777,电厂路与章河路交叉口向南200米路西京小凤侧面电梯上三楼,15515519301;18539916777,4.1,98,暂无,8：00——22：00
中原区,库迪咖啡(郑州国弘大厦店),113.537674,34.785408,113.537674,34.785408,长椿路6号,18137379518,4.2,13,暂无,8：00——22：00
中原区,爷爷不泡茶NOYEYENOTEA(郑州棉纺路锦艺城B区店),113.61011,34.76207,113.61011,34.76207,锦艺城B区三楼,15638803099,4.1,18,棉纺路,8：00——22：00
中原区,鸡柳大人(正弘汇店),113.566251,34.808765,113.566251,34.808765,郑州正弘汇,暂无,4.1,17,瑞达路沿线,8：00——22：00
中原区,库迪咖啡(巨正大厦店),113.602918,34.744024,113.602918,34.744024,秦岭路与洛河西路交叉口西南30米,16696661113,4.1,12,暂无,8：00——22：00
中原区,瑞幸咖啡(锦艺城金街店),113.611441,34.762727,113.611441,34.762727,棉纺西路40号锦艺城C区四层CG5-05号,4000100100,4.1,19,棉纺路,8：00——22：00
中原区,陈记郏县饸饹面(伊河路店),113.606407,34.742865,113.606407,34.742865,伏牛路西伊河路北A座裙房1-2层101号,15939027521,4.2,13,暂无,8：00——22：00
中原区,鲜啤福鹿家(中原万达121店),113.598339,34.745464,113.598339,34.745464,二砂北路121文创园5楼104,13598027062,4.2,13,暂无,8：00——22：00
中原区,库迪咖啡(国弘时代广场A座店),113.555289,34.800703,113.555289,34.800703,冬青街31号,15515959260,4.2,暂无,暂无,8：00——22：00
中原区,饺鲜说(国槐街店),113.548788,34.811054,113.548788,34.811054,枫杨街道枫杨街23号大里·鑫桂源,17737405699,4.2,23,科学大道,8：00——22：00
中原区,BeanStar比星咖啡(郑州保利久街高新店),113.557128,34.809556,113.557128,34.809556,郑州高新技术开发区保利文化广场二期二楼206号铺比星咖啡,13903718257,4.1,18,科学大道,8：00——22：00
中原区,川奇麻辣香锅中原万达店,113.601557,34.745493,113.601557,34.745493,中原西路街道中原中路171号4号楼1层110号,19837432922,4.1,29,暂无,8：00——22：00
中原区,小甫涮锅(啟福尚都C区店),113.557965,34.752103,113.557965,34.752103,广文街19-3(郑州一中地铁站G口步行410米),18903858707,4.2,78,暂无,8：00——22：00
中原区,擂饭(探十里店),113.614746,34.735254,113.614746,34.735254,陇海西路地铁站A口步行330米,13283851850,4.2,27,暂无,8：00——22：00
中原区,围辣小火锅(朗悦公园里店),113.552812,34.810551,113.552812,34.810551,枫杨街道雪松路128号朗悦·公园道1号·熙园,18695875907,4.1,31,科学大道,8：00——22：00
中原区,LINLEE·手打柠檬茶(中原王府井奥莱店),113.612575,34.761721,113.612575,34.761721,秦岭路街道棉纺西路4号王府井城市奥莱负1层附D04号,15670628212,4.1,暂无,棉纺路,8：00——22：00
中原区,卤昱夫妻肺片(汝河路店),113.622688,34.732426,113.622688,34.732426,汝河路街道汝河路路81号市直机关家属院,15517163580,4.2,20,淮河路,8：00——22：00
中原区,黄蜀郎鸡公煲(正弘店),113.562403,34.806874,113.562403,34.806874,高新数码港We空间底商16号,暂无,4.1,22,科学大道,8：00——22：00
中原区,刘统领地锅柴鸡(嵩山北路店),113.626076,34.77405,113.626076,34.77405,嵩山北路升龙天汇广场9号院东门,17839977180,4.2,49,暂无,8：00——22：00
中原区,布谷布谷热干面((金科城店)),113.573523,34.802891,113.573523,34.802891,金科城二期对面,13526649647,4.2,12,瑞达路沿线,8：00——22：00
中原区,沙朗阿甘鲜肉汉堡(棉纺路丹尼斯店),113.628487,34.757633,113.628487,34.757633,棉纺西路1号丹尼斯百货(中原店)1F层,18595850696,4.2,28,棉纺路,8：00——22：00
中原区,小谢金擀杖擀面皮(伊河路店),113.617885,34.742808,113.617885,34.742808,伊河路41号3栋1号,18838906238,4.1,16,暂无,8：00——22：00
中原区,鸭舞优北京烤鸭(颖河路店),113.602874,34.740409,113.602874,34.740409,秦岭路颖河路交叉口西北角中原老市集32号,暂无,4.1,23,暂无,8：00——22：00
中原区,嘟嘟嘴港式甜品(金水西路店),113.602539,34.771467,113.602539,34.771467,桐柏路街道郑地璞园西门门面房4附8嘟嘟嘴,18037193466,4.2,24,暂无,8：00——22：00
中原区,窑鸡王(中原万达店),113.60362,34.741657,113.60362,34.741657,秦岭路东、伊河路南195-25号,17329438090,4.1,62,暂无,8：00——22：00
中原区,N多寿司(郑州锦艺城店),113.61304,34.762032,113.61304,34.762032,棉纺西路36号A区商业负一层B1-42,13803847747,4.1,16,棉纺路,8：00——22：00
中原区,闰闰爸爸麻椒鸡(帝湖店),113.620625,34.718901,113.620625,34.718901,航海路与工人路交叉口向南100米路西,15824802014,4.1,39,二七万达,8：00——22：00
中原区,锅圈食汇(升龙天汇1号院店),113.617777,34.780123,113.617777,34.780123,董寨路31号升龙天汇1号院,15515601315;15538195718,4.1,暂无,暂无,8：00——22：00
中原区,滇城小镇云南过桥米线(公园茂店),113.554449,34.817686,113.554449,34.817686,朗悦公园茂购物中心1号馆U-2502区3层B3008,17337158982;17337158983,4.1,20,科学大道,8：00——22：00
中原区,马坡烧烤(金梭路店),113.544019,34.822781,113.544019,34.822781,金菊街2号楼附5号,17337012198,4.1,28,科学大道,8：00——22：00
中原区,沙朗阿甘鲜肉汉堡(新悦荟红人街店),113.539828,34.831936,113.539828,34.831936,长椿路216号3号楼1层附13号,13303818237,4.2,27,暂无,8：00——22：00
中原区,强丽栗子王(淮河西路店),113.594284,34.728703,113.594284,34.728703,地理空间家属院北门东90米,15237172781,4.1,暂无,淮河路,8：00——22：00
中原区,锅圈食汇火锅烧烤食材超市(啟福尚都店),113.560237,34.752659,113.560237,34.752659,启福尚都C区北门东50米,18336300717;18530866696,4.2,暂无,暂无,8：00——22：00
中原区,亿帆斋北京烤鸭(谦祥·万和城D区店),113.540816,34.834036,113.540816,34.834036,谦祥·万和城D区002门面,暂无,4.1,28,暂无,8：00——22：00
中原区,周黑鸭(郑州市探十里店),113.614497,34.735235,113.614497,34.735235,陇海路探十里负一楼B061,18638033582,4.1,22,暂无,8：00——22：00
中原区,梁老三麻辣鸡头(国棉四厂店),113.621122,34.756108,113.621122,34.756108,中原区四厂中街1号楼4单元49号,13949030325,4.2,19,棉纺路,8：00——22：00
中原区,久喜日式料理居酒屋,113.608527,34.765397,113.608527,34.765397,棉纺西路与六厂前街交叉口向北300米路东锦艺华都3-11商铺,15093229992,4.2,143,棉纺路,8：00——22：00
中原区,卢店烧饼烩羊肉(润园店),113.602371,34.769691,113.602371,34.769691,金水西路与秦岭路交叉口东南100米,13803826009,4,19,棉纺路,8：00——22：00
中原区,刘姐滋补鸡血汤,113.619665,34.742781,113.619665,34.742781,伊河路38号-2,15238086480;17148088883,4,15,暂无,8：00——22：00
中原区,潘记老味道小吃店(计划路1号院店),113.610918,34.75434,113.610918,34.75434,市场街计划路1号院底商,13523582308,4.3,15,建设路,8：00——22：00
中原区,胖三酸菜鱼(新合鑫木兰里店),113.566406,34.796836,113.566406,34.796836,瑞达路与木兰里交叉口睿达广场4楼,0371-67993188,4.4,暂无,瑞达路沿线,8：00——22：00
中原区,漫威咖啡,113.560283,34.82396,113.560283,34.82396,汉威国际传感器科技园东南门东北120米,13213088728;15515980141,4.5,55,科学大道,8：00——22：00
中原区,西城红焖羊肉(华瑞·紫光苑店),113.601713,34.775568,113.601713,34.775568,秦岭路小学南门旁,13937133067;15093263967,4.3,84,暂无,8：00——22：00
中原区,东北饺子手擀面(清城美苑店),113.611653,34.777505,113.611653,34.777505,冉屯路与冉屯东路交汇处向北100米路西,13938493030;15238068595,4.4,45,暂无,8：00——22：00
中原区,满屋福麻辣香锅(丁香里店),113.558514,34.795295,113.558514,34.795295,梧桐街与丁香里交叉口向北70米路东,16638255882,4.3,15,暂无,8：00——22：00
中原区,可口斋烩面(郑工机械集团住宅小区店),113.611289,34.775295,113.611289,34.775295,冉屯东路5号,17513339740,4.5,40,暂无,8：00——22：00
中原区,老刘烧烤夜市(龙源世纪花园店),113.599502,34.73394,113.599502,34.73394,华山路与陇海路向南100路西,15939001598,4,暂无,暂无,8：00——22：00
中原区,四川担担面(颖河小区店),113.619491,34.74037,113.619491,34.74037,颖河小区北院东南门旁,15938773590,4.3,15,暂无,8：00——22：00
中原区,胡子烧烤(郑州中原区),113.60388,34.765282,113.60388,34.765282,惠众·西城一品西1门北80米,18224526340,3.8,61,棉纺路,8：00——22：00
中原区,原四厂谭记烩面大盘鸡(天韵和城店),113.501222,34.748911,113.501222,34.748911,天韵和城南门西110米,15890081172,4,17,暂无,8：00——22：00
中原区,徐师傅生炝烩面(高新区店),113.551684,34.823831,113.551684,34.823831,高新·锦华苑西门北70米,13073793288;13674995971,4.5,16,科学大道,8：00——22：00
中原区,信阳私房菜(龙源世纪花园店),113.599509,34.734329,113.599509,34.734329,陇海路华山路交叉口向南200米路西,18790288821,4.5,暂无,暂无,8：00——22：00
中原区,聚家湘菜馆(中原万达店),113.602698,34.744479,113.602698,34.744479,秦岭路与中原路交叉口向南400米路西(中国工商银行南100米),15093395242,4.4,54,暂无,8：00——22：00
中原区,俏椒川味老火锅(谦祥万和城店),113.541657,34.833153,113.541657,34.833153,长椿路河南工业大学西门向北150米路西,15324967075;18103867075,4.3,70,暂无,8：00——22：00
中原区,虾哥虾尾(梧桐街店),113.568408,34.79363,113.568408,34.79363,瑞达路梧桐街向西500米路南,暂无,4.4,50,暂无,8：00——22：00
中原区,丁家炒面馆(伊河路店),113.612766,34.742519,113.612766,34.742519,伊河路119-1号,13203742299;15890097922,4.4,25,暂无,8：00——22：00
中原区,荷雨轩茶餐厅,113.611307,34.744974,113.611307,34.744974,洛河路70号(市中心医院地铁站C口步行400米),0371-67626166,4.4,61,暂无,8：00——22：00
中原区,梁记饸饹面大盘鸡(西流湖店),113.575988,34.765996,113.575988,34.765996,湖西路28号,15138955178,4.1,31,暂无,8：00——22：00
中原区,湖北老婆小食店(汝河路老店),113.603078,34.72734,113.603078,34.72734,秦岭路238号附19号,13937134495,4.3,47,淮河路,8：00——22：00
中原区,董记臊子面(郑州华强广场店),113.603077,34.793665,113.603077,34.793665,电厂路70号华强城市广场一期北门1-付12号商铺,15037137600;18903714075,4.4,14,暂无,8：00——22：00
中原区,林真真牛肋条放题(郑州首店),113.54807,34.810137,113.54807,34.810137,中原区高新区公园里鑫茂源商业街附12号,13938404142,4,60,科学大道,8：00——22：00
中原区,麒麟大口茶(郑州中原锦艺城店),113.610086,34.762132,113.610086,34.762132,秦岭路街道棉纺西路锦艺城购物中心B3-15号,18595691153,4,14,棉纺路,8：00——22：00
中原区,米皮记清真餐厅(煤仓北街店),113.611267,34.774346,113.611267,34.774346,煤仓北街22号一层8号,17503827011,4,11,暂无,8：00——22：00
中原区,幸运咖(郑大聚英园餐厅店),113.530571,34.811765,113.530571,34.811765,科学大道100号郑州大学主校区聚英园1层餐厅出入口,15538315788,4,10,科学大道,8：00——22：00
中原区,石记港式茶餐厅(星辰·万科生活广场店),113.609966,34.720054,113.609966,34.720054,航海西路21号星辰·万科生活广场F2层,15515720266,4,23,二七万达,8：00——22：00
中原区,真知味.重庆鸡公煲,113.551498,34.825435,113.551498,34.825435,金梭路与石楠路交叉口向北200米学府花园底商103-6,18104629731,4,22,科学大道,8：00——22：00
中原区,茉酸奶( 郑州中原锦艺城店 ),113.60638,34.763144,113.60638,34.763144,锦艺城C区4楼,15137011533;15514377158,4,21,棉纺路,8：00——22：00
中原区,MINI-CO小咖咖啡(正弘汇店),113.565786,34.808816,113.565786,34.808816,正弘汇B1层Lb106(银屏路地铁站D口步行470米),18163511313,4,12,科学大道,8：00——22：00
中原区,梁老三麻辣鸡头(帝湖花园东门),113.620683,34.718111,113.620683,34.718111,工人路366-8号,15515938343,4,16,二七万达,8：00——22：00
中原区,沙朗阿甘鲜肉汉堡(华强广场店),113.60304,34.792434,113.60304,34.792434,电厂路70号华强城市广场3号楼1层L1-28,15617873282,4,30,暂无,8：00——22：00
中原区,麦多馅饼(西十里铺北区98院店),113.617514,34.772828,113.617514,34.772828,桐柏路街道煤仓北街22号院1号楼2单元1层3号,13027521838,4,11,暂无,8：00——22：00
中原区,NOWWA挪瓦咖啡(郑州大学店),113.53351,34.815289,113.53351,34.815289,郑州高新区郑州大学主校区荷园6号楼东侧9号,15617853961,4,16,科学大道,8：00——22：00
中原区,老狼鲜炒大盘鸡(正弘店),113.560943,34.805627,113.560943,34.805627,中原区高新区银屏路15号正弘数码港三期2号楼一层附4号,15038331310,4,21,科学大道,8：00——22：00
中原区,薇薇安(正弘汇店),113.566104,34.808799,113.566104,34.808799,郑州正弘汇(银屏路地铁站D口步行470米),暂无,4,暂无,瑞达路沿线,8：00——22：00
中原区,鲜芋仙(探十里店),113.614647,34.735474,113.614647,34.735474,航海西路街道陇海西路338号探十里购物中心4楼L418号,暂无,4,26,暂无,8：00——22：00
中原区,西雅苏·新疆炒米粉(中原万达店),113.610816,34.739986,113.610816,34.739986,前进路81号院8号楼商业2层附149号,17737612719,4,18,暂无,8：00——22：00
中原区,昕时器云南蒸汽石锅鱼(星辰·万科生活广场店),113.609961,34.72009,113.609961,34.72009,万科民安星辰三楼11-12号商铺,13523431608;17760793335,4,50,二七万达,8：00——22：00
中原区,N多寿司(郑州华强广场店),113.604262,34.792755,113.604262,34.792755,郑州高新区电厂路70号华强广场5幢1层5号附1号,19693831775,4,18,暂无,8：00——22：00
中原区,阿明煲仔饭(华强广场店),113.602335,34.793498,113.602335,34.793498,电厂路70号郑州华强广场F1层,暂无,4,22,暂无,8：00——22：00
中原区,九头鸟热干面(万丰慧城店),113.563286,34.821384,113.563286,34.821384,金梭路15号,暂无,4,14,科学大道,8：00——22：00
中原区,百花蒸饺(百花路总店),113.624285,34.753325,113.624285,34.753325,百花路31号(碧沙岗地铁站B口步行230米),18603860030,4.1,暂无,建设路,8：00——22：00
